,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
83,kyber-network,"
84
",KNC,KNC,161446138.006,1.20363,134132696.93,14198600.0,0.02%,-6.98%,-33.84%,Add to Watchlist
84,rlc,"
85
",RLC,RLC,158809208.478,1.98336,80070793.2388,9963220.0,-0.70%,-7.10%,-3.46%,Add to Watchlist
85,funfair,"
86
",FUN,FUN,158153087.275,0.0325508,4858654388.66,2230480.0,-0.45%,-5.92%,-31.43%,Add to Watchlist
86,fusion,"
87
",FSN,FSN,157639531.368,5.31053,29684331.2,6374520.0,0.52%,-12.21%,-37.06%,Add to Watchlist
87,ethos,"
88
",ETHOS,ETHOS,154476882.755,2.01534,76650531.7985,4012100.0,-0.20%,-6.39%,-29.84%,Add to Watchlist
88,mybit-token,"
89
",MYB,MYB,152714756.548,3.06791,49778108.402,293305.0,3.66%,30.08%,21.18%,Add to Watchlist
89,centrality,"
90
",CENNZ,CENNZ,151047291.22,0.202137,747252067.754,133817.0,4.61%,-3.23%,-21.74%,Add to Watchlist
90,electroneum,"
91
",ETN,ETN,149231703.481,0.0210252,7097754289.18,1428340.0,-0.25%,-8.73%,-9.66%,Add to Watchlist
91,factom,"
92
",FCT,FCT,141762475.971,16.2105,8745102.0,1674920.0,0.04%,-3.06%,-14.82%,Add to Watchlist
92,substratum,"
93
",SUB,SUB,141659550.793,0.369848,383020999.96,4200050.0,0.06%,-8.99%,-31.25%,Add to Watchlist
93,dragonchain,"
94
",DRGN,DRGN,139438448.968,0.584839,238421940.0,1932710.0,0.25%,-4.99%,-28.25%,Add to Watchlist
94,all-sports,"
95
",SOC,SOC,139178546.993,0.172616,806289955.697,38750800.0,1.16%,25.86%,-8.59%,Add to Watchlist
95,zcoin,"
96
",XZC,XZC,135291249.455,27.9088,4847619.72764,1429680.0,0.01%,-6.96%,-22.95%,Add to Watchlist
96,enigma-project,"
97
",ENG,ENG,134515024.087,1.79746,74836171.09,4449090.0,0.19%,-5.81%,-23.25%,Add to Watchlist
97,nuls,"
98
",NULS,NULS,133148400.0,3.32871,40000000.0,2848290.0,-0.32%,-11.27%,-18.36%,Add to Watchlist
98,nxt,"
99
",NXT,NXT,131579281.296,0.131711,998999941.508,2979190.0,0.35%,-2.49%,-20.51%,Add to Watchlist
99,kin,"
100
",KIN,KIN,129099121.951,0.000170744,756097560976.0,720929.0,-0.18%,-11.25%,-28.30%,Add to Watchlist
100,storm,"
101
",STORM,STORM,126521800.271,0.0303763,4165148496.4,10474100.0,-0.14%,-7.46%,-33.07%,Add to Watchlist
101,holo,"
102
",HOT,HOT,123106919.266,0.000924125,133214575156.0,3740310.0,-1.25%,-10.90%,-33.91%,Add to Watchlist
102,zencash,"
103
",ZEN,ZEN,122852577.65,31.196,3938087.5,4205070.0,-0.41%,-8.83%,-1.72%,Add to Watchlist
